sep=;
Producer:;Pfeiffer-Vacuum
Device:;TPG362
Product number:;PT G28 290
Serial number:;44990208
Firmware version:;010500
Filename:;FRN_20240905_141606.csv
Date: / time:;2024-09-05  14:16
Sampletime:;10s
Channel 1:;TPR/PCR
Channel 2:;PKR
Date;Time;Channel 1 [mBar];Channel 2 [mBar];
2024-09-05;14:44:26;5,0119e-04;1,1583e-04;
2024-09-05;14:44:36;5,0119e-04;1,1379e-04;
2024-09-05;14:44:46;5,0119e-04;1,1199e-04;
2024-09-05;14:44:56;5,0119e-04;1,1054e-04;
2024-09-05;14:45:06;5,0119e-04;1,0842e-04;
2024-09-05;14:45:16;5,0119e-04;1,0681e-04;
2024-09-05;14:45:26;5,0119e-04;1,0539e-04;
2024-09-05;14:45:36;5,0119e-04;1,0369e-04;
2024-09-05;14:45:46;5,0119e-04;1,0231e-04;
2024-09-05;14:45:56;5,0119e-04;1,0093e-04;
2024-09-05;14:46:06;5,0119e-04;9,9663e-05;
2024-09-05;14:46:16;5,0119e-04;9,8826e-05;
2024-09-05;14:46:26;5,0119e-04;9,7762e-05;
2024-09-05;14:46:36;5,0119e-04;9,5992e-05;
2024-09-05;14:46:46;5,0119e-04;1,0803e-04;
2024-09-05;14:46:56;5,0119e-04;1,0653e-04;
2024-09-05;14:47:06;5,0119e-04;1,0519e-04;
2024-09-05;14:47:16;5,0119e-04;1,0368e-04;
2024-09-05;14:47:26;5,0119e-04;1,0246e-04;
2024-09-05;14:47:36;5,0119e-04;1,0121e-04;
2024-09-05;14:47:46;5,0119e-04;1,0006e-04;
2024-09-05;14:47:56;5,0119e-04;9,9417e-05;
2024-09-05;14:48:06;5,0119e-04;9,8254e-05;
2024-09-05;14:48:16;5,0119e-04;9,6648e-05;
2024-09-05;14:48:26;5,0119e-04;9,3426e-05;
2024-09-05;14:48:36;5,0119e-04;9,2479e-05;
2024-09-05;14:48:46;5,0119e-04;9,1386e-05;
2024-09-05;14:48:56;5,0119e-04;9,0076e-05;
2024-09-05;14:49:06;5,0119e-04;8,8688e-05;
2024-09-05;14:49:16;5,0119e-04;8,7641e-05;
2024-09-05;14:49:26;5,0119e-04;8,6243e-05;
2024-09-05;14:49:36;5,0119e-04;8,5304e-05;
2024-09-05;14:49:46;5,0119e-04;8,4221e-05;
2024-09-05;14:49:56;5,0119e-04;8,3296e-05;
2024-09-05;14:50:06;5,0119e-04;8,2378e-05;
2024-09-05;14:50:16;5,0119e-04;8,1484e-05;
2024-09-05;14:50:26;5,0119e-04;8,1832e-05;
2024-09-05;14:50:36;5,0119e-04;7,9131e-05;
2024-09-05;14:50:46;5,0119e-04;7,8018e-05;
2024-09-05;14:50:56;5,0119e-04;7,7278e-05;
2024-09-05;14:51:06;5,0119e-04;7,6281e-05;
2024-09-05;14:51:16;5,0119e-04;7,5926e-05;
2024-09-05;14:51:26;5,0119e-04;7,4713e-05;
2024-09-05;14:51:36;5,0119e-04;7,4038e-05;
2024-09-05;14:51:46;5,0119e-04;7,2972e-05;
2024-09-05;14:51:56;5,0119e-04;7,2566e-05;
2024-09-05;14:52:06;5,0119e-04;7,2944e-05;
2024-09-05;14:52:16;5,0119e-04;7,2710e-05;
2024-09-05;14:52:26;5,0119e-04;6,9869e-05;
2024-09-05;14:52:36;5,0119e-04;6,9546e-05;
2024-09-05;14:52:46;5,0119e-04;6,7182e-05;
2024-09-05;14:52:56;5,0119e-04;6,7260e-05;
2024-09-05;14:53:06;5,0119e-04;6,7398e-05;
2024-09-05;14:53:16;5,0119e-04;6,7519e-05;
2024-09-05;14:53:26;5,0119e-04;6,7494e-05;
