sep=;
Hersteller:;Pfeiffer-Vacuum
Gerät:;TPG362
Artikelnummer:;PT G28 290
Seriennummer:;44992684
Firmware Version:;010500
Dateiname:;OIPT LA_20250319_061831.csv
Datum / Zeit:;2025-03-19  06:18
Messintervall:;10s
Sensor 1:;PKR
Sensor 2:;KEIN SENSOR
Datum;Zeit;Sensor 1 [mBar];Sensor 2 [mBar];
2025-03-19;06:46:05;1,2455e-05;0,0000e+00;
2025-03-19;06:46:15;1,2504e-05;0,0000e+00;
2025-03-19;06:46:25;1,2574e-05;0,0000e+00;
2025-03-19;06:46:35;1,2633e-05;0,0000e+00;
2025-03-19;06:46:45;1,2691e-05;0,0000e+00;
2025-03-19;06:46:55;1,2755e-05;0,0000e+00;
2025-03-19;06:47:05;1,2822e-05;0,0000e+00;
2025-03-19;06:47:15;1,2875e-05;0,0000e+00;
2025-03-19;06:47:25;1,2943e-05;0,0000e+00;
2025-03-19;06:47:35;1,3004e-05;0,0000e+00;
2025-03-19;06:47:45;1,3058e-05;0,0000e+00;
2025-03-19;06:47:55;1,3128e-05;0,0000e+00;
2025-03-19;06:48:05;1,3180e-05;0,0000e+00;
2025-03-19;06:48:15;1,3245e-05;0,0000e+00;
2025-03-19;06:48:25;1,3307e-05;0,0000e+00;
2025-03-19;06:48:35;1,3366e-05;0,0000e+00;
2025-03-19;06:48:45;1,3431e-05;0,0000e+00;
2025-03-19;06:48:55;6,9674e-06;0,0000e+00;
2025-03-19;06:49:05;3,2078e-07;0,0000e+00;
2025-03-19;06:49:15;1,9795e-07;0,0000e+00;
2025-03-19;06:49:25;1,5896e-07;0,0000e+00;
2025-03-19;06:49:35;1,3798e-07;0,0000e+00;
2025-03-19;06:49:45;1,2460e-07;0,0000e+00;
2025-03-19;06:49:55;1,1484e-07;0,0000e+00;
2025-03-19;06:50:05;1,0732e-07;0,0000e+00;
2025-03-19;06:50:15;1,0140e-07;0,0000e+00;
2025-03-19;06:50:25;9,6538e-08;0,0000e+00;
2025-03-19;06:50:35;9,2537e-08;0,0000e+00;
2025-03-19;06:50:45;8,9048e-08;0,0000e+00;
2025-03-19;06:50:55;8,5978e-08;0,0000e+00;
2025-03-19;06:51:05;8,3228e-08;0,0000e+00;
2025-03-19;06:51:15;8,0996e-08;0,0000e+00;
2025-03-19;06:51:25;7,8722e-08;0,0000e+00;
2025-03-19;06:51:35;7,6856e-08;0,0000e+00;
2025-03-19;06:51:45;7,5063e-08;0,0000e+00;
2025-03-19;06:51:55;7,3502e-08;0,0000e+00;
2025-03-19;06:52:05;7,2039e-08;0,0000e+00;
2025-03-19;06:52:15;7,0641e-08;0,0000e+00;
2025-03-19;06:52:25;6,9412e-08;0,0000e+00;
2025-03-19;06:52:35;6,8308e-08;0,0000e+00;
2025-03-19;06:52:45;6,7186e-08;0,0000e+00;
2025-03-19;06:52:55;6,6221e-08;0,0000e+00;
2025-03-19;06:53:05;6,5349e-08;0,0000e+00;
2025-03-19;06:53:15;6,4390e-08;0,0000e+00;
2025-03-19;06:53:25;6,3647e-08;0,0000e+00;
2025-03-19;06:53:35;6,2840e-08;0,0000e+00;
